"","log2FC","AveExpr","t","pValue","adjP","B","Symbol","change","-log10(pvalue)","group"
"Tcerg1",-0.506950579570523,6.5635510231886,-5.89852116434668,1.89004002409673e-07,2.86888954630402e-06,6.49803146705182,"Tcerg1","NOT",6.72352899896945,"NOT"
"Thoc1",-0.624367161463682,4.91643752874603,-6.06389799224155,1.00433564528603e-07,1.62184467568454e-06,7.37101789529648,"Thoc1","DOWN",6.99812112331135,"DOWN"
"Thoc2",-0.0344908028402233,5.88191231395266,-0.3437306622824,0.732267588956081,0.834454411034666,-7.15964345070459,"Thoc2","NOT",0.135330187833695,"NOT"
"Thoc3",-0.344793853086794,5.54235211191836,-3.71015272218926,0.000459502143956565,0.00292192694825401,-0.902663668527319,"Thoc3","NOT",3.33771245793112,"NOT"
"Tra2a",-0.473419916522254,5.77089421361027,-5.1967309253042,2.63652950602644e-06,3.08464915257343e-05,4.04020673259313,"Tra2a","NOT",5.57896736401287,"NOT"
"Tra2b",-0.527645051965626,6.51175427957675,-6.17918069963618,6.45093094755954e-08,1.09604889708295e-06,7.5653906505257,"Tra2b","NOT",7.19037760688201,"NOT"
"Txnl4a",0.127984711035904,4.64319545114712,1.17015839934504,0.246629919822403,0.47363938647693,-6.29311852460382,"Txnl4a","NOT",0.60795423826115,"NOT"
"U2af1",-0.367814094218764,6.31429565686738,-4.31324983534896,6.1911834531714e-05,0.000503312433926024,0.884559950829598,"U2af1","NOT",4.2082263270613,"NOT"
"U2af1l4",-0.79469583222676,-4.65085879601124,-0.984257961634304,0.328997249861749,0.56382125655672,-4.89740609309615,"U2af1l4","NOT",0.482807732368746,"NOT"
"U2af2",-0.70169575358938,7.66636487167587,-8.7939593145667,2.46793834396093e-12,1.18857129380143e-10,17.4942340936557,"U2af2","DOWN",11.6076656944006,"DOWN"
"U2surp",-0.490442053036159,5.85968464340039,-5.01954387759548,5.04988829582471e-06,5.4895421852741e-05,3.39246440133294,"U2surp","NOT",5.2967182284246,"NOT"
"Usp39",-0.0537226068885371,6.35885343771966,-0.632445920219414,0.529532536137823,0.717508309646977,-7.1062139025724,"Usp39","NOT",0.276107350323246,"NOT"
"Wbp11",-0.231185853953149,6.94687713213146,-2.87193598343552,0.00565473530805623,0.0254808344978699,-3.50477802402921,"Wbp11","NOT",2.24758771911005,"NOT"
"Xab2",-0.038271751125652,6.33494202041428,-0.442454471706947,0.659773913811089,0.778167957928131,-7.20471210107904,"Xab2","NOT",0.180604859617986,"NOT"
"Zmat2",-0.328752116401124,6.21320657820558,-3.8120246119656,0.000330940246180678,0.0021891921759825,-0.707028180716913,"Zmat2","NOT",3.48025041437131,"NOT"
