"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Npb",-0.597852347823245,-0.3507418750022,-1.20451968182731,0.23318582075877,0.463150720664804,-5.0230121074193
"Lax1",-0.668704258025956,-3.95778723557716,-0.744433063378954,0.459561596915824,0.650051723749309,-5.02305931545425
"Gm26856",-0.668704258025956,-3.95778723557716,-0.744433063378954,0.459561596915824,0.650051723749309,-5.02305931545425
"Cplx1",-0.668704258025956,-3.95778723557716,-0.744433063378954,0.459561596915824,0.650051723749309,-5.02305931545425
"9430031K09Rik",-0.668704258025956,-3.95778723557716,-0.744433063378954,0.459561596915824,0.650051723749309,-5.02305931545425
"Mfap4",0.660502262429317,-4.08061483460486,0.751250717196762,0.455480064929825,0.645906604140208,-5.02318475888293
"1700066B17Rik",0.660502262429317,-4.08061483460486,0.751250717196762,0.455480064929825,0.645906604140208,-5.02318475888293
"Thpo",-0.406811388989002,1.49542519337165,-1.53628086251997,0.129801231445611,0.310103431940971,-5.02320250199367
"C030006K11Rik",-0.231871486136784,4.25981714151715,-1.95683966338492,0.0550910836391215,0.163750105685587,-5.02323406257507
"Dnah2",-0.654694952169644,-0.636275653346033,-1.15065692777907,0.254503402835962,0.47975455068629,-5.02334711085621
"Sult1a1",0.677486810365775,-3.91880589221478,0.738955466504702,0.462856037784903,0.652481019244868,-5.02335368849684
"Gm17590",0.677486810365775,-3.91880589221478,0.738955466504702,0.462856037784903,0.652481019244868,-5.02335368849684
"Mast4",-0.19047900688472,6.55399407827795,-2.18277498512748,0.033033516829504,0.110012851421874,-5.02341357942742
"Gm10384",-0.712280961234251,-2.2479822660994,-0.822595804966941,0.414041425701964,0.61755669351387,-5.02343767080842
"Gm2237",0.44324249485523,1.03528528640475,1.457208280428,0.150346976027481,0.344651551726982,-5.02366713282415
"Cabp2",0.663142283052761,-3.79794919908654,0.730438394321749,0.46800526476831,0.656893296348243,-5.02370098246266
"Tacr2",-0.706622773539212,-2.09074618749379,-0.851249987062853,0.398063236914858,0.605104201725574,-5.02381134594088
"Mmp1b",-0.645428315241447,-4.20344243363256,-0.761911464074018,0.449139912196464,0.639617396732665,-5.02383557055991
"Gm826",-0.645428315241447,-4.20344243363256,-0.761911464074018,0.449139912196464,0.639617396732665,-5.02383557055991
"Gm45662",-0.645428315241447,-4.20344243363256,-0.761911464074018,0.449139912196464,0.639617396732665,-5.02383557055991
"Gm20478",-0.645428315241447,-4.20344243363256,-0.761911464074018,0.449139912196464,0.639617396732665,-5.02383557055991
"Gm18813",-0.645428315241447,-4.20344243363256,-0.761911464074018,0.449139912196464,0.639617396732665,-5.02383557055991
"4933424G06Rik",-0.645428315241447,-4.20344243363256,-0.761911464074018,0.449139912196464,0.639617396732665,-5.02383557055991
"4930434B07Rik",-0.645428315241447,-4.20344243363256,-0.761911464074018,0.449139912196464,0.639617396732665,-5.02383557055991
"Aif1",-0.693991629069845,-3.46387488158134,-0.718825601192958,0.475078242908128,0.663345736188518,-5.02390468751298
"Gm38099",0.658879010908425,-4.08061483460486,0.749817100941342,0.45633658823163,0.646897327251265,-5.023960821656
"Adcy4",0.658879010908425,-4.08061483460486,0.749817100941342,0.45633658823163,0.646897327251265,-5.023960821656
"Mdk",-0.666132404845134,-3.95778723557716,-0.742604501827066,0.460659865589678,0.651133027054058,-5.02403661863148
"Gm44097",-0.666132404845134,-3.95778723557716,-0.742604501827066,0.460659865589678,0.651133027054058,-5.02403661863148
"Gm4134",-0.666132404845134,-3.95778723557716,-0.742604501827066,0.460659865589678,0.651133027054058,-5.02403661863148
"Gm9694",-0.710959571025457,-2.7861381439666,-0.745566984156757,0.458881298614246,0.64952683087597,-5.02430336012409
"Pilrb2",-0.644308107014442,-4.20344243363256,-0.760997627956176,0.449681368440102,0.640088048790339,-5.0243403295282
"Il7r",-0.644308107014442,-4.20344243363256,-0.760997627956176,0.449681368440102,0.640088048790339,-5.0243403295282
"Gm5406",-0.644308107014442,-4.20344243363256,-0.760997627956176,0.449681368440102,0.640088048790339,-5.0243403295282
"Gm40864",-0.644308107014442,-4.20344243363256,-0.760997627956176,0.449681368440102,0.640088048790339,-5.0243403295282
"Gm36992",-0.644308107014442,-4.20344243363256,-0.760997627956176,0.449681368440102,0.640088048790339,-5.0243403295282
"Gm25930",-0.644308107014442,-4.20344243363256,-0.760997627956176,0.449681368440102,0.640088048790339,-5.0243403295282
"Cfb",-0.644308107014442,-4.20344243363256,-0.760997627956176,0.449681368440102,0.640088048790339,-5.0243403295282
"B230206L02Rik",0.587253619907543,-0.340700970266642,1.20875554109977,0.231566123150358,0.461358747937822,-5.02439408384031
"Gm7598",-0.705521528847305,-2.19717316917799,-0.827893121821143,0.41105854185609,0.614303851670902,-5.02446844113245
"Gm45495",-0.576227704384984,-0.102148446960114,-1.2483717743683,0.216813179614454,0.439851671574267,-5.0244997572584
"Glrb",-0.695103908376045,-1.44259952699454,-0.990322806633851,0.326049857430493,0.561837789919509,-5.02455090574171
"Gm14051",-0.713523769304788,-2.43325308142012,-0.791498894984339,0.431815132294979,0.622443700028024,-5.02476302679908
"Gm8703",-0.701299467578662,-2.85464957681258,-0.740054613970357,0.462193886386514,0.652117879986378,-5.02509679735964
"A530046M15Rik",0.686552153507298,-3.30031082794257,0.707071226189387,0.482298320443111,0.670405713226777,-5.0252293359603
"Gm30613",0.673940508663803,-3.55229400103114,0.714051039255383,0.478003639419569,0.666029461252688,-5.02543442088667
"4933417D19Rik",0.705173379618632,-2.18499592547971,0.829682759298842,0.410053773005242,0.613015349800402,-5.02569315207186
"Rest",0.189892625216268,5.92545014562743,2.12564921993102,0.0377174010124773,0.122423519487426,-5.02581623930002
"Bcl9l",0.182984164915614,6.83405616094903,2.20673554875481,0.0312261006312972,0.10516664158101,-5.02584572960533
"Gm44386",0.663184822237187,-1.0194857475219,1.07704635107871,0.285832227878405,0.514686491702974,-5.02593880119582
"Teddm1b",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Ltb4r1",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm6474",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm49302",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm45630",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm42560",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm38059",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm37490",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm37399",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm16095",0.64054866831653,-4.32627003266026,0.766756991222564,0.446275238618795,0.637332667797889,-5.02615804289824
"Gm48840",-0.68097358832018,-3.41096118327198,-0.712033152975562,0.479243037759362,0.667245685621521,-5.02627528445632
"Gm11185",0.669970678367563,-3.55229400103114,0.712386868664324,0.47902565343417,0.667011040657125,-5.02627735337933
"Gm10051",0.594403297591782,-0.405783255622822,1.19480789327146,0.236930454504606,0.468423104630558,-5.0262777866042
"Fam228a",0.681087470124381,-3.15897801018341,0.704279321600749,0.484022185081574,0.671897029170378,-5.02628800463824
"Fam166a",0.682665877608392,-2.63065717660969,0.746519752918788,0.458310130620454,0.64895383649742,-5.02633599549019
"Gm9570",-0.664379780427273,-3.67512160005884,-0.720826291157269,0.473855413003099,0.662548374955228,-5.02650402064945
"Slc6a5",-0.689596174391099,-3.46387488158134,-0.713341636464007,0.478439154086838,0.666407098560215,-5.02669580225052
"Chgb",-0.689596174391099,-3.46387488158134,-0.713341636464007,0.478439154086838,0.666407098560215,-5.02669580225052
"Gm6478",-0.646866617570518,-3.67512160005884,-0.720337291650793,0.474154127561593,0.662889576401665,-5.02675532104877
"Cideb",-0.691231502961791,-2.99598239457174,-0.720208603631313,0.474232756696353,0.662940201039588,-5.02692212095889
"Edn2",0.549724758553108,0.177007086791412,1.30054928682851,0.198456570390029,0.412298658524081,-5.0270667651849
"Tmem40",-0.411966979558945,1.46675388157259,-1.52888879307283,0.131621952384136,0.313512707589643,-5.0271355967448
"Zfp385c",0.668086975690697,-3.79794919908654,0.723778110228006,0.472054493649216,0.661317056129651,-5.02716135868358
"5430430K15Rik",-0.644474675438789,-3.67512160005884,-0.719517715058131,0.474655019249405,0.66318631521696,-5.02717613356679
"Lrfn4",-0.202453889709739,5.75917537601446,-2.10912676723177,0.0391759324189488,0.125915393898804,-5.02722346055407
"Itgal",-0.709673081842687,-3.1263246418542,-0.71055580689563,0.480151572354495,0.66827211958635,-5.02724397459898
"Gm12867",-0.700680956892033,-2.21101579246592,-0.820487361862191,0.415232321220025,0.617721697858202,-5.02729274528232
"Mir3097",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Mdm4-ps",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Lhx1",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm6806",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm43713",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm42573",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm40639",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm37672",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm22355",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm16552",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm14970",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Akirin1-ps",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"A430018G15Rik",0.638431071884585,-4.32627003266026,0.764697583622215,0.447491454037083,0.638168431971517,-5.02730706270457
"Gm47726",0.671298494155836,-3.91880589221478,0.730812939149888,0.467778141524684,0.656707506586527,-5.02764544928392
